model,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd
controlled_continuation,5459,2091,3368,38.3,2716.5,0.5,1.09,-616.5
exhaustion_then_control,1203,475,728,39.48,584.25,0.49,1.08,-536.0
timing_sensitive,6354,2456,3898,38.65,2329.0,0.37,1.06,-758.5
base_pdh_vwap,10410,3995,6415,38.38,2633.25,0.25,1.04,-1482.75
reclaim_stabilization,7170,2735,4435,38.15,1753.75,0.24,1.04,-1605.0
true_sniper_candidate,304,122,182,40.13,-70.0,-0.23,0.96,-287.0
