year,trades,wins,losses,net_points,avg_trade,winrate
2018,66,25,41,-1.0,-0.02,37.88
2019,41,17,24,14.5,0.35,41.46
2020,154,57,97,-80.75,-0.52,37.01
2021,169,62,107,-241.25,-1.43,36.69
2022,200,84,116,338.5,1.69,42.0
2023,118,53,65,233.25,1.98,44.92
2024,173,58,115,-17.25,-0.1,33.53
2025,196,84,112,289.0,1.47,42.86
2026,86,35,51,49.25,0.57,40.7
