group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae
2018,123,43,80,34.96,46.5,0.38,0.05,1.11,5.26,9.38,-5.86
2019,67,26,41,38.81,82.36,1.23,0.16,1.43,4.94,8.22,-5.53
2020,166,72,94,43.37,470.09,2.83,0.3,1.78,6.88,13.3,-7.32
2021,185,86,99,46.49,581.25,3.14,0.39,1.85,7.12,13.75,-7.22
2022,148,64,84,43.24,325.56,2.2,0.3,1.43,8.77,17.64,-9.9
2023,157,75,82,47.77,492.99,3.14,0.43,1.89,6.84,12.8,-7.28
2024,188,84,104,44.68,472.02,2.51,0.34,1.55,8.11,15.43,-8.16
2025,219,92,127,42.01,646.11,2.95,0.26,1.54,9.72,20.29,-12.82
2026,85,46,39,54.12,680.95,8.01,0.62,2.54,11.8,25.37,-12.17
