group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae
8,329,150,179,45.59,1200.71,3.65,0.37,1.77,8.89,18.82,-10.92
9,422,170,252,40.28,628.99,1.49,0.21,1.31,7.85,14.53,-9.03
10,376,174,202,46.28,1353.64,3.6,0.39,1.98,7.29,14.36,-6.99
11,210,94,116,44.76,620.24,2.95,0.34,1.79,7.05,13.56,-7.13
16,1,0,1,0.0,-5.75,-5.75,-1.0,0.0,5.75,0.0,-96.75
