group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae
0-8,851,348,503,40.89,1221.64,1.44,0.23,1.41,5.97,10.89,-6.54
8-12,350,175,175,50.0,1689.76,4.83,0.5,2.02,9.49,19.67,-10.85
12-16,100,46,54,46.0,515.87,5.16,0.38,1.7,13.59,27.66,-15.6
16-20,25,14,11,56.0,302.37,12.09,0.68,2.59,17.45,43.66,-15.95
20-30,12,5,7,41.67,68.19,5.68,0.25,1.44,22.07,46.97,-25.07
