group,trades,wins,losses,win_rate,net_points,avg_points,avg_rr,profit_factor,avg_risk,avg_mfe,avg_mae
1,349,182,167,52.15,1724.63,4.94,0.56,2.49,7.46,16.62,-8.28
2,409,171,238,41.81,951.73,2.33,0.25,1.52,7.93,15.3,-8.96
3,234,97,137,41.45,550.3,2.35,0.24,1.52,7.95,15.04,-9.16
4,179,72,107,40.22,301.22,1.68,0.21,1.37,7.71,14.01,-8.68
5,167,66,101,39.52,269.95,1.62,0.19,1.33,8.23,14.91,-8.21
