group,trades,avg_mfe_30m,med_mfe_30m,avg_mae_30m,med_mae_30m,avg_mfe_60m,med_mfe_60m,avg_mae_60m,med_mae_60m,avg_nearest_fvg_dist,med_nearest_fvg_dist,avg_v_shape_score_atr,med_v_shape_score_atr,avg_displacement_ratio,med_displacement_ratio,avg_dol_distance,med_dol_distance,avg_vwap_distance,med_vwap_distance,rate_displacement_candle,rate_v_shape_candidate,rate_exhaustion_proxy,rate_entry_inside_nearest_fvg,rate_ifvg_proxy,rate_fvg_alignment_with_side,rate_dol_cross_last_10m,rate_dol_reclaim_last_10m,rate_any_key_level_sweep_last_30m
result=loss,7,-32.92857142857143,5.5,-125.78571428571429,-84.0,-15.178571428571429,16.0,-127.60714285714286,-84.0,2.2142857142857144,0.0,2.8806405464961116,2.6878680800942285,1.5994506578812704,1.3212435233160622,,,,,0.14285714285714285,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.0,0.0,0.2857142857142857
result=win,19,-109.94736842105263,104.75,-222.35526315789474,-10.25,-99.17105263157895,104.75,-232.01315789473685,-25.25,203.71052631578948,0.0,3.5488063200841835,3.8590852904820765,1.1376140842750129,1.001727115716753,,,,,0.2631578947368421,0.9473684210526315,0.15789473684210525,0.631578947368421,0.5263157894736842,0.3684210526315789,0.0,0.0,0.3157894736842105
